item_id,variance
nlp_survey_00050,0.0
nlp_survey_00051,0.0
nlp_survey_00052,0.0
nlp_survey_00053,0.0
nlp_survey_00054,0.0
nlp_survey_00055,0.0
nlp_survey_00056,0.0
nlp_survey_00057,0.0
nlp_survey_00058,0.0
nlp_survey_00059,0.0
nlp_survey_00060,0.0
nlp_survey_00061,0.0
nlp_survey_00062,0.0
nlp_survey_00063,0.0
nlp_survey_00064,0.0
nlp_survey_00065,0.0
nlp_survey_00066,0.0
nlp_survey_00067,0.0
nlp_survey_00068,0.0
nlp_survey_00069,0.0
nlp_survey_00070,0.0
nlp_survey_00071,0.0
nlp_survey_00072,0.0
nlp_survey_00073,0.0
nlp_survey_00074,0.0
nlp_survey_00075,0.0
nlp_survey_00076,0.0
nlp_survey_00077,0.0
nlp_survey_00078,0.0
nlp_survey_00079,0.0
nlp_survey_00080,0.0
nlp_survey_00081,0.0
nlp_survey_00082,0.0
nlp_survey_00083,0.0
nlp_survey_00084,0.0
nlp_survey_00085,0.0
nlp_survey_00086,0.0
nlp_survey_00087,0.0
nlp_survey_00088,0.0
nlp_survey_00089,0.0
nlp_survey_00090,0.0
nlp_survey_00091,0.0
nlp_survey_00092,0.0
nlp_survey_00093,0.0
nlp_survey_00094,0.0
nlp_survey_00095,0.0
nlp_survey_00096,0.0
nlp_survey_00097,0.0
nlp_survey_00098,0.0
nlp_survey_00099,0.0
philpapers_00002,0.0
philpapers_00003,0.0
philpapers_00004,0.0
philpapers_00005,0.0
philpapers_00006,0.0
philpapers_00007,0.0
philpapers_00008,0.0
philpapers_00009,0.0
philpapers_00010,0.0
philpapers_00011,0.0
philpapers_00012,0.0
philpapers_00013,0.0
philpapers_00014,0.0
philpapers_00015,0.0
philpapers_00016,0.0
philpapers_00017,0.0
philpapers_00018,0.0
philpapers_00019,0.0
philpapers_00020,0.0
philpapers_00021,0.0
philpapers_00022,0.0
philpapers_00023,0.0
philpapers_00024,0.0
philpapers_00025,0.0
philpapers_00026,0.0
philpapers_00027,0.0
philpapers_00028,0.0
philpapers_00029,0.0
philpapers_00030,0.0
philpapers_00031,0.0
philpapers_00032,0.0
philpapers_00033,0.0
philpapers_00034,0.0
philpapers_00035,0.0
philpapers_00036,0.0
philpapers_00037,0.0
philpapers_00038,0.0
philpapers_00039,0.0
philpapers_00040,0.0
philpapers_00041,0.0
philpapers_00042,0.0
philpapers_00043,0.0
philpapers_00044,0.0
philpapers_00045,0.0
philpapers_00046,0.0
philpapers_00047,0.0
philpapers_00048,0.0
philpapers_00049,0.0
political_00100,0.0
political_00101,0.0
political_00102,0.0
political_00103,0.0
political_00104,0.0
political_00105,0.0
political_00106,0.0
political_00107,0.0
political_00108,0.0
political_00109,0.0
political_00110,0.0
political_00111,0.0
political_00112,0.0
political_00113,0.0
political_00114,0.0
political_00115,0.0
political_00116,0.0
political_00117,0.0
political_00118,0.0
political_00119,0.0
political_00120,0.0
political_00121,0.0
political_00122,0.0
political_00123,0.0
political_00124,0.0
political_00125,0.0
political_00126,0.0
political_00127,0.0
political_00128,0.0
political_00129,0.0
political_00130,0.0
political_00131,0.0
political_00132,0.0
political_00133,0.0
political_00134,0.0
political_00135,0.0
political_00136,0.0
political_00137,0.0
political_00138,0.0
political_00139,0.0
political_00140,0.0
political_00141,0.0
political_00142,0.0
political_00143,0.0
political_00144,0.0
political_00145,0.0
political_00146,0.0
political_00147,0.0
political_00148,0.0
political_00149,0.0
